date,ticker,momentum_6m,momentum_12m,rank_6m,rank_12m,composite_score,final_rank,weight
2017-01-31,NVDA,0.931,2.7621,1.0,0.9796,0.9939,1,0.0667
2017-01-31,MU,0.778,1.1998,0.9796,0.9592,0.9735,2,0.0667
2017-01-31,AMD,0.5617,3.8458,0.9388,1.0,0.9571,3,0.0667
2017-01-31,CSX,0.6724,1.0826,0.9592,0.9388,0.9531,4,0.0667
2017-01-31,ADSK,0.3616,0.707,0.898,0.8776,0.8918,5,0.0667
2017-01-31,NFLX,0.491,0.4955,0.9184,0.7959,0.8816,6,0.0667
2017-01-31,AMAT,0.3124,0.9726,0.8571,0.9184,0.8755,7,0.0667
2017-01-31,TMUS,0.3229,0.5341,0.8776,0.8163,0.8592,8,0.0667
2017-01-31,LRCX,0.2748,0.606,0.8367,0.8571,0.8429,9,0.0667
2017-01-31,MELI,0.2142,0.8806,0.7755,0.898,0.8122,10,0.0667
2017-01-31,MCHP,0.2207,0.5579,0.7959,0.8367,0.8082,11,0.0667
2017-01-31,AVGO,0.2308,0.4712,0.8163,0.7551,0.798,12,0.0667
2017-01-31,MAR,0.1981,0.4002,0.7551,0.6531,0.7245,13,0.0667
2017-01-31,ADI,0.1857,0.449,0.7347,0.6939,0.7224,14,0.0667
2017-01-31,BKNG,0.1615,0.4519,0.7143,0.7143,0.7143,15,0.0667
2017-02-28,AMD,0.8853,5.757,1.0,1.0,1.0,1,0.0667
2017-02-28,NVDA,0.6405,2.2593,0.9592,0.9796,0.9653,2,0.0667
2017-02-28,CSX,0.7492,1.0569,0.9796,0.9184,0.9612,3,0.0667
2017-02-28,MU,0.4197,1.2051,0.9184,0.9592,0.9306,4,0.0667
2017-02-28,TMUS,0.3605,0.6854,0.898,0.8776,0.8918,5,0.0667
2017-02-28,NFLX,0.4565,0.5216,0.9388,0.7143,0.8714,6,0.0667
2017-02-28,MELI,0.2653,1.081,0.7959,0.9388,0.8388,7,0.0667
2017-02-28,ADI,0.3158,0.5852,0.8571,0.7551,0.8265,8,0.0667
2017-02-28,LRCX,0.2733,0.6421,0.8163,0.8163,0.8163,9,0.0667
2017-02-28,AMAT,0.2159,0.9462,0.7551,0.898,0.798,10,0.0667
2017-02-28,ADSK,0.2531,0.668,0.7755,0.8367,0.7939,11,0.0667
2017-02-28,KLAC,0.3528,0.3688,0.8776,0.5918,0.7918,12,0.0667
2017-02-28,AAPL,0.2932,0.4467,0.8367,0.6735,0.7878,13,0.0667
2017-02-28,SNPS,0.208,0.5964,0.6735,0.7755,0.7041,14,0.0667
2017-02-28,MCHP,0.1901,0.6695,0.6327,0.8571,0.7,15,0.0667
2017-03-31,AMD,1.1814,4.1413,1.0,1.0,1.0,1,0.0667
2017-03-31,MU,0.6477,1.6201,0.9796,0.9592,0.9735,2,0.0667
2017-03-31,NVDA,0.6206,2.035,0.9592,0.9796,0.9653,3,0.0667
2017-03-31,CSX,0.566,0.8579,0.9388,0.9388,0.9388,4,0.0667
2017-03-31,TMUS,0.3902,0.641,0.8571,0.8776,0.8633,5,0.0667
2017-03-31,MAR,0.4139,0.4257,0.898,0.7347,0.849,6,0.0667
2017-03-31,LRCX,0.3881,0.5713,0.8367,0.8571,0.8429,7,0.0667
2017-03-31,NFLX,0.529,0.3984,0.9184,0.6531,0.8388,8,0.0667
2017-03-31,AMAT,0.323,0.8414,0.7959,0.9184,0.8327,9,0.0667
2017-03-31,KLAC,0.4011,0.339,0.8776,0.5714,0.7857,10,0.0667
2017-03-31,ADI,0.3,0.4245,0.7755,0.7143,0.7571,11,0.0667
2017-03-31,VRTX,0.2865,0.3816,0.7347,0.6327,0.7041,12,0.0667
2017-03-31,AVGO,0.2827,0.4105,0.7143,0.6735,0.702,13,0.0667
2017-03-31,SNPS,0.2209,0.4637,0.6531,0.7755,0.6898,14,0.0667
2017-03-31,AAPL,0.2928,0.3337,0.7551,0.5306,0.6878,15,0.0667
2017-04-28,AMD,0.8244,2.6842,1.0,1.0,1.0,1,0.0667
2017-04-28,CSX,0.6884,0.8994,0.9796,0.9184,0.9612,2,0.0667
2017-04-28,MU,0.5686,1.3812,0.9592,0.9592,0.9592,3,0.0667
2017-04-28,NVDA,0.4494,1.902,0.8776,0.9796,0.9082,4,0.0667
2017-04-28,LRCX,0.4921,0.8813,0.898,0.898,0.898,5,0.0667
2017-04-28,AMAT,0.4162,0.9787,0.8367,0.9388,0.8673,6,0.0667
2017-04-28,TMUS,0.359,0.6919,0.8163,0.8571,0.8286,7,0.0667
2017-04-28,MELI,0.3436,0.8549,0.7959,0.8776,0.8204,8,0.0667
2017-04-28,VRTX,0.503,0.3637,0.9184,0.5102,0.7959,9,0.0667
2017-04-28,TSLA,0.553,0.2679,0.9388,0.3878,0.7735,10,0.0667
2017-04-28,MAR,0.4262,0.3858,0.8571,0.5714,0.7714,11,0.0667
2017-04-28,KLAC,0.3222,0.4269,0.7755,0.6735,0.7449,12,0.0667
2017-04-28,AVGO,0.2895,0.5167,0.7347,0.7347,0.7347,13,0.0667
2017-04-28,MCHP,0.2615,0.5636,0.6327,0.8163,0.6878,14,0.0667
2017-04-28,ADSK,0.2747,0.4672,0.6735,0.7143,0.6857,15,0.0667
2017-05-31,MELI,0.7025,1.0228,0.9796,0.9184,0.9612,1,0.0667
2017-05-31,CSX,0.5742,1.0889,0.9592,0.9388,0.9531,2,0.0667
2017-05-31,MU,0.5393,1.419,0.9388,0.9592,0.9449,3,0.0667
2017-05-31,NVDA,0.5374,2.1072,0.9184,1.0,0.9429,4,0.0667
2017-05-31,TSLA,0.7388,0.5276,1.0,0.7143,0.9143,5,0.0667
2017-05-31,ADSK,0.4867,0.9181,0.898,0.898,0.898,6,0.0667
2017-05-31,LRCX,0.4652,0.9022,0.8776,0.8776,0.8776,7,0.0667
2017-05-31,AMAT,0.4483,0.9009,0.8571,0.8571,0.8571,8,0.0667
2017-05-31,NFLX,0.3946,0.5898,0.7959,0.7959,0.7959,9,0.0667
2017-05-31,MAR,0.388,0.6544,0.7755,0.8367,0.7939,10,0.0667
2017-05-31,AVGO,0.3853,0.5771,0.7551,0.7755,0.7612,11,0.0667
2017-05-31,ISRG,0.4122,0.4411,0.8163,0.6122,0.7551,12,0.0667
2017-05-31,AAPL,0.3808,0.559,0.7347,0.7347,0.7347,13,0.0667
2017-05-31,VRTX,0.4223,0.3269,0.8367,0.3878,0.702,14,0.0667
2017-05-31,AMD,0.2673,1.4486,0.551,0.9796,0.6796,15,0.0667
2017-06-30,MELI,0.5848,0.7889,0.9592,0.898,0.9408,1,0.0667
2017-06-30,CSX,0.5173,1.1322,0.9388,0.9388,0.9388,2,0.0667
2017-06-30,TSLA,0.6844,0.7035,0.9796,0.8367,0.9367,3,0.0667
2017-06-30,VRTX,0.7312,0.4981,1.0,0.6939,0.9082,4,0.0667
2017-06-30,ADSK,0.3446,0.8622,0.8776,0.9184,0.8898,5,0.0667
2017-06-30,MU,0.3408,1.1701,0.8367,0.9592,0.8735,6,0.0667
2017-06-30,ISRG,0.4694,0.4142,0.9184,0.6327,0.8327,7,0.0667
2017-06-30,ADBE,0.3642,0.4766,0.898,0.6735,0.8306,8,0.0667
2017-06-30,LRCX,0.3287,0.7067,0.8163,0.8571,0.8286,9,0.0667
2017-06-30,NVDA,0.3003,2.0925,0.7347,1.0,0.8143,10,0.0667
2017-06-30,PYPL,0.3431,0.47,0.8571,0.6531,0.7959,11,0.0667
2017-06-30,AMAT,0.2713,0.7437,0.6939,0.8776,0.749,12,0.0667
2017-06-30,AVGO,0.3071,0.5261,0.7551,0.7347,0.749,12,0.0667
2017-06-30,REGN,0.3142,0.4064,0.7959,0.6122,0.7408,14,0.0667
2017-06-30,CDNS,0.3123,0.3782,0.7755,0.5306,0.702,15,0.0667
2017-07-31,NVDA,0.4805,1.8622,0.9592,1.0,0.9714,1,0.0667
2017-07-31,MELI,0.56,0.8899,0.9796,0.9184,0.9612,2,0.0667
2017-07-31,VRTX,0.7992,0.5652,1.0,0.7959,0.9388,3,0.0667
