date,ticker,momentum_6m,momentum_12m,volatility,rank_6m,rank_12m,rank_low_vol,composite_score,final_rank,weight
2017-01-31,MU,0.778,1.1998,0.0259,0.9796,0.9592,0.1224,0.802,1,0.0667
2017-01-31,NVDA,0.931,2.7621,0.0459,1.0,0.9796,0.0204,0.798,2,0.0667
2017-01-31,AMD,0.5617,3.8458,0.0364,0.9388,1.0,0.0408,0.7776,3,0.0667
2017-01-31,CSX,0.6724,1.0826,0.0331,0.9592,0.9388,0.0612,0.7735,4,0.0667
2017-01-31,NFLX,0.491,0.4955,0.016,0.9184,0.7959,0.3673,0.7714,5,0.0667
2017-01-31,AMAT,0.3124,0.9726,0.0169,0.8571,0.9184,0.2857,0.7612,6,0.0667
2017-01-31,TMUS,0.3229,0.5341,0.0156,0.8776,0.8163,0.3878,0.7612,6,0.0667
2017-01-31,ADSK,0.3616,0.707,0.0214,0.898,0.8776,0.1837,0.749,8,0.0667
2017-01-31,LRCX,0.2748,0.606,0.017,0.8367,0.8571,0.2653,0.7286,9,0.0667
2017-01-31,MCHP,0.2207,0.5579,0.0165,0.7959,0.8367,0.3469,0.7184,10,0.0667
2017-01-31,MAR,0.1981,0.4002,0.0114,0.7551,0.6531,0.7143,0.7163,11,0.0667
2017-01-31,MELI,0.2142,0.8806,0.0206,0.7755,0.898,0.2041,0.698,12,0.0667
2017-01-31,AVGO,0.2308,0.4712,0.0169,0.8163,0.7551,0.3061,0.6959,13,0.0667
2017-01-31,BKNG,0.1615,0.4519,0.0136,0.7143,0.7143,0.5918,0.6898,14,0.0667
2017-01-31,SNPS,0.1529,0.477,0.0115,0.6327,0.7755,0.6939,0.6878,15,0.0667
2017-02-28,AMD,0.8853,5.757,0.0385,1.0,1.0,0.0204,0.8041,1,0.0667
2017-02-28,NVDA,0.6405,2.2593,0.0286,0.9592,0.9796,0.0612,0.7857,2,0.0667
2017-02-28,AAPL,0.2932,0.4467,0.0095,0.8367,0.6735,0.8163,0.7837,3,0.0667
2017-02-28,NFLX,0.4565,0.5216,0.0137,0.9388,0.7143,0.4898,0.7816,4,0.0667
2017-02-28,CSX,0.7492,1.0569,0.0324,0.9796,0.9184,0.0408,0.7735,5,0.0667
