date,ticker,sector,m6,m12,vol,roe,de,fcf,r6,r12,rv,rq,score,weight
2017-01-31,NFLX,Communication Services,0.491,0.4955,0.016,0.4276,63.782,0.5493,1.0,0.8,0.2,1.0,0.79,0.1
2017-01-31,MAR,Consumer Discretionary,0.1981,0.4002,0.0114,0.0,0.0,0.2397,0.8571,0.5714,0.8571,0.8571,0.7857,0.1
2017-01-31,COST,Consumer Staples,-0.0159,0.0964,0.0089,0.2965,60.257,0.0234,0.75,1.0,1.0,0.625,0.8438,0.1
2017-01-31,ISRG,Health Care,-0.0017,0.2753,0.0152,0.1669,0.953,0.226,1.0,1.0,0.8,0.8,0.93,0.1
2017-01-31,CSX,Industrials,0.6724,1.0826,0.0331,0.2251,148.222,0.0689,1.0,1.0,0.3333,0.3333,0.7667,0.1
2017-01-31,NVDA,Technology,0.931,2.7621,0.0459,1.0148,7.255,0.2692,1.0,0.96,0.04,1.0,0.798,0.1
2017-01-31,MU,Technology,0.778,1.1998,0.0259,0.3982,14.902,0.0498,0.96,0.92,0.12,0.62,0.731,0.1
2017-01-31,ADSK,Technology,0.3616,0.707,0.0214,0.3968,89.787,0.3868,0.88,0.84,0.24,0.76,0.724,0.1
2017-01-31,LRCX,Technology,0.2748,0.606,0.017,0.6556,44.195,0.2343,0.8,0.8,0.28,0.84,0.702,0.1
2017-01-31,AMAT,Technology,0.3124,0.9726,0.0169,0.3886,33.108,0.1539,0.84,0.88,0.32,0.4,0.68,0.1
2017-02-28,NFLX,Communication Services,0.4565,0.5216,0.0137,0.4276,63.782,0.5493,1.0,0.8,0.4,1.0,0.83,0.1
2017-02-28,BKNG,Consumer Discretionary,0.2144,0.3627,0.0109,0.0,0.0,0.2434,0.8571,0.7143,0.7143,1.0,0.8143,0.1
2017-02-28,COST,Consumer Staples,0.0871,0.1945,0.009,0.2965,60.257,0.0234,1.0,1.0,0.75,0.625,0.8938,0.1
2017-02-28,ISRG,Health Care,0.0755,0.3089,0.0114,0.1669,0.953,0.226,1.0,1.0,1.0,0.8,0.97,0.1
2017-02-28,CSX,Industrials,0.7492,1.0569,0.0324,0.2251,148.222,0.0689,1.0,1.0,0.3333,0.3333,0.7667,0.1
2017-02-28,NVDA,Technology,0.6405,2.2593,0.0286,1.0148,7.255,0.2692,0.96,0.96,0.08,1.0,0.79,0.1
2017-02-28,AAPL,Technology,0.2932,0.4467,0.0095,1.5202,102.63,0.2441,0.8,0.56,0.92,0.48,0.716,0.1
2017-02-28,MU,Technology,0.4197,1.2051,0.0253,0.3982,14.902,0.0498,0.92,0.92,0.12,0.62,0.715,0.1
2017-02-28,ADI,Technology,0.3158,0.5852,0.0149,0.0786,25.753,0.3521,0.84,0.64,0.48,0.8,0.712,0.1
2017-02-28,AMD,Technology,0.8853,5.757,0.0385,0.0708,6.359,0.1324,1.0,1.0,0.04,0.28,0.7,0.1
2017-03-31,NFLX,Communication Services,0.529,0.3984,0.0124,0.4276,63.782,0.5493,1.0,0.8,0.4,1.0,0.83,0.1
2017-03-31,MAR,Consumer Discretionary,0.4139,0.4257,0.0086,0.0,0.0,0.2397,1.0,0.7143,1.0,0.8571,0.9071,0.1
2017-03-31,PEP,Consumer Staples,0.0529,0.1093,0.0056,0.4285,258.081,0.0877,0.75,1.0,1.0,0.625,0.8438,0.1
2017-03-31,ISRG,Health Care,0.0646,0.2638,0.0106,0.1669,0.953,0.226,0.8,0.8,1.0,0.8,0.84,0.1
2017-03-31,CSX,Industrials,0.566,0.8579,0.0327,0.2251,148.222,0.0689,1.0,1.0,0.3333,0.3333,0.7667,0.1
2017-03-31,NVDA,Technology,0.6206,2.035,0.0236,1.0148,7.255,0.2692,0.92,0.96,0.12,1.0,0.782,0.1
2017-03-31,LRCX,Technology,0.3881,0.5713,0.0117,0.6556,44.195,0.2343,0.84,0.84,0.48,0.84,0.768,0.1
2017-03-31,MU,Technology,0.6477,1.6201,0.0192,0.3982,14.902,0.0498,0.96,0.92,0.24,0.62,0.755,0.1
2017-03-31,AMAT,Technology,0.323,0.8414,0.0107,0.3886,33.108,0.1539,0.8,0.88,0.6,0.4,0.72,0.1
2017-03-31,AMD,Technology,1.1814,4.1413,0.0381,0.0708,6.359,0.1324,1.0,1.0,0.04,0.28,0.7,0.1
2017-04-28,TMUS,Communication Services,0.359,0.6919,0.0133,0.1818,208.851,0.0906,1.0,1.0,0.4,0.2,0.76,0.1
2017-04-28,MAR,Consumer Discretionary,0.4262,0.3858,0.009,0.0,0.0,0.2397,0.8571,0.5714,0.7143,0.8571,0.7571,0.1
2017-04-28,COST,Consumer Staples,0.1826,0.1822,0.01,0.2965,60.257,0.0234,1.0,1.0,0.75,0.625,0.8938,0.1
2017-04-28,ISRG,Health Care,0.2556,0.3236,0.0094,0.1669,0.953,0.226,0.8,0.8,1.0,0.8,0.84,0.1
2017-04-28,CSX,Industrials,0.6884,0.8994,0.0141,0.2251,148.222,0.0689,1.0,1.0,0.3333,0.3333,0.7667,0.1
2017-04-28,LRCX,Technology,0.4921,0.8813,0.0135,0.6556,44.195,0.2343,0.92,0.84,0.32,0.84,0.768,0.1
2017-04-28,NVDA,Technology,0.4494,1.902,0.0232,1.0148,7.255,0.2692,0.88,0.96,0.12,1.0,0.766,0.1
2017-04-28,MU,Technology,0.5686,1.3812,0.0187,0.3982,14.902,0.0498,0.96,0.92,0.2,0.62,0.747,0.1
2017-04-28,AMAT,Technology,0.4162,0.9787,0.0109,0.3886,33.108,0.1539,0.84,0.88,0.6,0.4,0.736,0.1
2017-04-28,AMD,Technology,0.8244,2.6842,0.0381,0.0708,6.359,0.1324,1.0,1.0,0.04,0.28,0.7,0.1
2017-05-31,NFLX,Communication Services,0.3946,0.5898,0.0148,0.4276,63.782,0.5493,1.0,1.0,0.2,1.0,0.84,0.1
2017-05-31,MAR,Consumer Discretionary,0.388,0.6544,0.0118,0.0,0.0,0.2397,0.7143,0.8571,0.5714,0.8571,0.7429,0.1
2017-05-31,COST,Consumer Staples,0.2481,0.2762,0.009,0.2965,60.257,0.0234,1.0,1.0,0.5,0.625,0.8438,0.1
2017-05-31,ISRG,Health Care,0.4122,0.4411,0.0102,0.1669,0.953,0.226,0.8,1.0,0.8,0.8,0.85,0.1
2017-05-31,CSX,Industrials,0.5742,1.0889,0.0145,0.2251,148.222,0.0689,1.0,1.0,0.3333,0.3333,0.7667,0.1
2017-05-31,NVDA,Technology,0.5374,2.1072,0.031,1.0148,7.255,0.2692,0.96,1.0,0.08,1.0,0.8,0.1
2017-05-31,MU,Technology,0.5393,1.419,0.0198,0.3982,14.902,0.0498,1.0,0.92,0.16,0.62,0.755,0.1
2017-05-31,ADBE,Technology,0.3575,0.4262,0.0078,0.5877,58.34,0.3812,0.72,0.52,0.96,0.92,0.748,0.1
2017-05-31,LRCX,Technology,0.4652,0.9022,0.0139,0.6556,44.195,0.2343,0.88,0.84,0.24,0.84,0.736,0.1
2017-05-31,ADSK,Technology,0.4867,0.9181,0.023,0.3968,89.787,0.3868,0.92,0.88,0.12,0.76,0.726,0.1
