date,ticker,momentum_6m,weight
2016-07-29,ADSK,0.2698,0.0667
2016-07-29,AMAT,0.5041,0.0667
2016-07-29,AMD,2.1182,0.0667
2016-07-29,AMZN,0.2927,0.0667
2016-07-29,BKNG,0.2684,0.0667
2016-07-29,CSCO,0.3068,0.0667
2016-07-29,CTAS,0.2485,0.0667
2016-07-29,ISRG,0.2864,0.0667
2016-07-29,LRCX,0.2601,0.0667
2016-07-29,MCHP,0.2616,0.0667
2016-07-29,MELI,0.5621,0.0667
2016-07-29,NVDA,0.9617,0.0667
2016-07-29,QCOM,0.4066,0.0667
2016-07-29,SNPS,0.2625,0.0667
2016-07-29,TXN,0.3333,0.0667
2016-08-31,ADSK,0.2302,0.0667
2016-08-31,AMAT,0.5462,0.0667
2016-08-31,AMD,2.0081,0.0667
2016-08-31,AMZN,0.3319,0.0667
2016-08-31,AVGO,0.293,0.0667
2016-08-31,CTAS,0.3551,0.0667
2016-08-31,FTNT,0.2562,0.0667
2016-08-31,LRCX,0.256,0.0667
2016-08-31,MCHP,0.3605,0.0667
2016-08-31,MELI,0.6186,0.0667
2016-08-31,MU,0.3986,0.0667
2016-08-31,NVDA,0.8871,0.0667
2016-08-31,QCOM,0.226,0.0667
2016-08-31,SNPS,0.2926,0.0667
2016-08-31,TXN,0.2823,0.0667
2016-09-30,ADSK,0.243,0.0667
2016-09-30,AMAT,0.4354,0.0667
2016-09-30,AMD,1.4417,0.0667
2016-09-30,AMZN,0.4115,0.0667
2016-09-30,CSX,0.2286,0.0667
2016-09-30,CTAS,0.2664,0.0667
2016-09-30,FTNT,0.1913,0.0667
2016-09-30,INTC,0.1989,0.0667
2016-09-30,MCHP,0.3017,0.0667
2016-09-30,MELI,0.5626,0.0667
2016-09-30,MU,0.6463,0.0667
2016-09-30,NVDA,0.9225,0.0667
2016-09-30,QCOM,0.377,0.0667
2016-09-30,SNPS,0.213,0.0667
2016-09-30,TXN,0.2302,0.0667
2016-10-31,AAPL,0.2067,0.0667
2016-10-31,ADSK,0.1979,0.0667
2016-10-31,AMAT,0.4581,0.0667
2016-10-31,AMD,1.0083,0.0667
2016-10-31,LRCX,0.2879,0.0667
2016-10-31,MCHP,0.2575,0.0667
2016-10-31,MELI,0.3431,0.0667
2016-10-31,MSFT,0.2197,0.0667
2016-10-31,MU,0.6564,0.0667
2016-10-31,NFLX,0.3641,0.0667
2016-10-31,NVDA,1.0095,0.0667
2016-10-31,QCOM,0.3792,0.0667
2016-10-31,SNPS,0.2277,0.0667
2016-10-31,TMUS,0.2539,0.0667
2016-10-31,TXN,0.2453,0.0667
2016-11-30,ADI,0.2896,0.0667
2016-11-30,ADSK,0.2357,0.0667
2016-11-30,AMAT,0.322,0.0667
